GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coopcycle,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.web.rest,ProductResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,AccountResource,12,198,2,22,1,48,3,21,1,11
Coopcycle,com.mycompany.myapp.web.rest,CooperativeResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,PaymentResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Coopcycle,com.mycompany.myapp.web.rest,RestaurantResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,CourseResource,23,137,3,5,5,27,3,8,1,6
Coopcycle,com.mycompany.myapp.web.rest,UserResource,0,201,0,14,0,39,0,14,0,7
Coopcycle,com.mycompany.myapp.web.rest,OrderResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Coopcycle,com.mycompany.myapp.web.rest,ClientForwardController,2,3,0,0,1,1,1,1,1,1
Coopcycle,com.mycompany.myapp.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Coopcycle,com.mycompany.myapp.web.rest,BasketResource,0,133,0,4,0,26,0,8,0,6
Coopcycle,com.mycompany.myapp.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Coopcycle,com.mycompany.myapp.config.audit,AuditEventConverter,42,84,8,8,10,19,7,6,1,4
Coopcycle,com.mycompany.myapp.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Coopcycle,com.mycompany.myapp.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Coopcycle,com.mycompany.myapp.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
Coopcycle,com.mycompany.myapp.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Coopcycle,com.mycompany.myapp.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Coopcycle,com.mycompany.myapp.security,SecurityUtils,67,22,11,3,15,7,12,3,6,2
Coopcycle,com.mycompany.myapp.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
